pathogen_name	taxonid	ARG_name	aro_id	frequency	antibiotic_name	drugclass	associated_MGE_type	associated_MGE_element
Listeria monocytogenes	1639	Tetracycline-resistant ribosomal protection protein	0000002	0.019664		Tetracycline antibiotic		
Listeria monocytogenes	1639	ATP-binding cassette (ABC) antibiotic efflux pump	0010001	0.999846				
Listeria monocytogenes	1639	Major facilitator superfamily (MFS) antibiotic efflux pump	0010002	0.999846				
Listeria monocytogenes	1639	Resistance-nodulation-cell division (RND) antibiotic efflux pump	0010004	0.000019				
Listeria monocytogenes	1639	Determinant of antibiotic resistance	3000000	0.999846				
Listeria monocytogenes	1639	Beta-lactamase	3000001	0.999846				
Listeria monocytogenes	1639	Class B (metallo-) beta-lactamase	3000004	0.999846				
Listeria monocytogenes	1639	TEM beta-lactamase	3000014	0.000096	Ampicillin	Penam		
Listeria monocytogenes	1639	PatA	3000024	0.000019		Fluoroquinolone antibiotic		
Listeria monocytogenes	1639	VanS	3000071	0.999461		glycoPeptide antibiotic		
Listeria monocytogenes	1639	EmrB	3000074	0.999846		Fluoroquinolone antibiotic		
Listeria monocytogenes	1639	VanY	3000077	0.000173		glycoPeptide antibiotic		
Listeria monocytogenes	1639	Class A beta-lactamase	3000078	0.00204				
Listeria monocytogenes	1639	Bla1	3000090	0.000038		Penam		
Listeria monocytogenes	1639	Multidrug and toxic compound extrusion (MATE) transporter	3000112	0.999846				
Listeria monocytogenes	1639	Aminoglycoside acetyltransferase (AAC)	3000121	0.999577				
Listeria monocytogenes	1639	Chloramphenicol acetyltransferase (CAT)	3000122	0.001828		Phenicol antibiotic		
Listeria monocytogenes	1639	APH(3')	3000126	0.001712		Aminoglycoside antibiotic		
Listeria monocytogenes	1639	Tet(C)	3000167	0.000019	Tetracycline	Tetracycline antibiotic		
Listeria monocytogenes	1639	Tet(K)	3000178	0.000058	Tetracycline	Tetracycline antibiotic	plasmid	pS0385p1(rep7a)
Listeria monocytogenes	1639	Tet(M)	3000186	0.019799	Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline	Tetracycline antibiotic	plasmid,transposon,ICE	DOp1(repUS43),ICE_COH1_guaA,Tn5801(B6),ICESpnDCC1738,ICESauST398-1,Tn6198,Tn925,ICESga43143-1,ICESauMu3-1,Tn5801-like,Tn5251
Listeria monocytogenes	1639	Tet(O)	3000190	0.019818	Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline	Tetracycline antibiotic		
Listeria monocytogenes	1639	Tet(S)	3000192	0.019799	Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline	Tetracycline antibiotic		
Listeria monocytogenes	1639	Tet(W)	3000194	0.019799	Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline	Tetracycline antibiotic		
Listeria monocytogenes	1639	FosX	3000198	0.99517	Fosfomycin	Phosphonic acid antibiotic	plasmid	DOp1(repUS43)
Listeria monocytogenes	1639	AcrB	3000216	0.000135		Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic		
Listeria monocytogenes	1639	BlaR1	3000217	0.000038		Penam		
Listeria monocytogenes	1639	ANT(6)	3000225	0.000308		Aminoglycoside antibiotic		
Listeria monocytogenes	1639	ANT(9)	3000228	0.000385		Aminoglycoside antibiotic		
Listeria monocytogenes	1639	ANT(3'')-Ia	3000232	0.000019		Aminoglycoside antibiotic		
Listeria monocytogenes	1639	Chloramphenicol phosphotransferase	3000249	0.000096		Phenicol antibiotic		
Listeria monocytogenes	1639	ErmC	3000250	0.000269	Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2	Lincosamide antibiotic,Macrolide antibiotic,Streptogramin antibiotic	plasmid	pDLK1(rep10)
Listeria monocytogenes	1639	MsrA	3000251	0.000135	Erythromycin,Quinupristin	Macrolide antibiotic,Streptogramin antibiotic	plasmid	pCSF41498_1
Listeria monocytogenes	1639	EmrE	3000264	0.000038				
Listeria monocytogenes	1639	LsaA	3000300	0.000058	Clindamycin,Dalfopristin,Pleuromutilin,Quinupristin	Lincosamide antibiotic,Pleuromutilin antibiotic,Streptogramin antibiotic		
Listeria monocytogenes	1639	MphA	3000316	0.000019	Azithromycin,Clarithromycin,Dirithromycin,Erythromycin,Oleandomycin,Roxithromycin,Telithromycin	Macrolide antibiotic		
Listeria monocytogenes	1639	MphC	3000319	0.000173	Azithromycin,Clarithromycin,Dirithromycin,Erythromycin,Oleandomycin,Roxithromycin,Spiramycin,Telithromycin,Tylosin	Macrolide antibiotic	plasmid	pCSF41498_1
Listeria monocytogenes	1639	AAC(3)	3000322	0.999461		Aminoglycoside antibiotic		
Listeria monocytogenes	1639	VanC	3000368	0.000654		glycoPeptide antibiotic		
Listeria monocytogenes	1639	VanT	3000372	0.000404		glycoPeptide antibiotic		
Listeria monocytogenes	1639	ErmB	3000375	0.000404	Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2	Lincosamide antibiotic,Macrolide antibiotic,Streptogramin antibiotic		
Listeria monocytogenes	1639	Sul1	3000410	0.000019	Mafenide,Sulfacetamide,Sulfadiazine,Sulfadimidine,Sulfadoxine,Sulfamethizole,Sulfamethoxazole,Sulfasalazine,Sulfisoxazole	Sulfonamide antibiotic		
Listeria monocytogenes	1639	Quinolone resistance protein (qnr)	3000419	0.000038	CiprOfloxacin,Gatifloxacin,LevOfloxacin,Moxifloxacin,Nalidixic acid,Norfloxacin,Sparfloxacin	Fluoroquinolone antibiotic		
Listeria monocytogenes	1639	NorB	3000421	0.999327	CiprOfloxacin,Moxifloxacin,Norfloxacin,Sparfloxacin	Fluoroquinolone antibiotic	plasmid	DOp1(repUS43),N1011Aplasmid(rep26)
Listeria monocytogenes	1639	AcrD	3000491	0.000135		Aminoglycoside antibiotic		
Listeria monocytogenes	1639	AcrF	3000502	0.000135		Cephalosporin,Cephamycin,Fluoroquinolone antibiotic,Penam		
Listeria monocytogenes	1639	ErmG	3000522	0.000115	Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2	Lincosamide antibiotic,Macrolide antibiotic,Streptogramin antibiotic		
Listeria monocytogenes	1639	Erm 23S ribosomal RNA methyltransferase	3000560	0.000731		Lincosamide antibiotic,Macrolide antibiotic,Streptogramin antibiotic		
Listeria monocytogenes	1639	VanR	3000574	0.000962		glycoPeptide antibiotic		
Listeria monocytogenes	1639	ErmT	3000595	0.000019	Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2	Lincosamide antibiotic,Macrolide antibiotic,Streptogramin antibiotic		
Listeria monocytogenes	1639	Mel	3000616	0.000019	Erythromycin,Telithromycin	Macrolide antibiotic		
Listeria monocytogenes	1639	PC1 beta-lactamase (blaZ)	3000621	0.000058		Penam		
Listeria monocytogenes	1639	MarR	3000718	0.999846		Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic		
Listeria monocytogenes	1639	Antibiotic sensitive dihydrofolate reductase	3000745	0.999788	Brodimoprim,Iclaprim,Tetroxoprim,Trimethoprim	Diaminopyrimidine antibiotic		
Listeria monocytogenes	1639	MdtF	3000796	0.000038		Fluoroquinolone antibiotic,Macrolide antibiotic,Penam		
Listeria monocytogenes	1639	TEM-116	3000979	0.000096		Cephalosporin,Monobactam,Penam,Penem		
Listeria monocytogenes	1639	TEM-162	3001028	0.000019		Cephalosporin,Monobactam,Penam,Penem		
Listeria monocytogenes	1639	Gene involved in antibiotic sequestration	3001207	0.000019				
Listeria monocytogenes	1639	TEM-208	3001385	0.000019		Cephalosporin,Monobactam,Penam,Penem		
Listeria monocytogenes	1639	AAC(6')-Ii	3002556	0.000019	2'-N-ethylNetilmicin,5-epiSisomicin,Amikacin,Dibekacin,Netilmicin,Sisomicin,Tobramycin	Aminoglycoside antibiotic		
Listeria monocytogenes	1639	AadA5	3002605	0.000019	Spectinomycin,Streptomycin	Aminoglycoside antibiotic		
Listeria monocytogenes	1639	ANT(6)-Ia	3002626	0.000289	Streptomycin	Aminoglycoside antibiotic		
Listeria monocytogenes	1639	Aad(6)	3002628	0.000019	Streptomycin	Aminoglycoside antibiotic		
Listeria monocytogenes	1639	ANT(9)-Ia	3002630	0.000019	Spectinomycin	Aminoglycoside antibiotic		
